Date,Close
2/2/16,69.87
2/3/16,69.14
2/4/16,68.44
2/5/16,66.39
2/8/16,64.88
2/9/16,65.23
2/10/16,65.94
2/11/16,65.43
2/12/16,66.32
2/16/16,67.46
2/17/16,68.54
2/18/16,67.97
2/19/16,68.36
2/22/16,69.39
2/23/16,69.05
2/24/16,69.45
2/25/16,70.5
2/26/16,70.26
2/29/16,69.6
3/1/16,71.2
3/2/16,71.06
3/3/16,71.01
3/4/16,70.91
3/7/16,70.16
3/8/16,69.9
3/9/16,70.25
3/10/16,70.33
3/11/16,71.45
3/14/16,71.6
3/15/16,71.56
3/16/16,71.95
3/17/16,71.91
3/18/16,72.05
3/21/16,72.18
3/22/16,72.21
3/23/16,71.93
3/24/16,71.91
3/28/16,72.12
3/29/16,72.94
3/30/16,73.3
3/31/16,73.1
4/1/16,73.9
4/4/16,73.53
4/5/16,72.77
4/6/16,73.67
4/7/16,72.96
4/8/16,72.84
4/11/16,72.39
4/12/16,72.81
4/13/16,73.22
4/14/16,73.15
4/15/16,73.32
4/18/16,73.85
4/19/16,73.59
4/20/16,73.72
4/21/16,73.24
4/22/16,72.77
4/25/16,72.9
4/26/16,72.82
4/27/16,72.81
4/28/16,72.52
4/29/16,72.64
5/2/16,73.56
5/3/16,73.06
5/4/16,72.99
5/5/16,72.87
5/6/16,73.33
5/9/16,73.85
5/10/16,74.84
5/11/16,74.03
5/12/16,74.21
5/13/16,73.8
5/16/16,74.28
5/17/16,73.25
5/18/16,73.23
5/19/16,72.98
5/20/16,73.31
5/23/16,73.01
5/24/16,74.18
5/25/16,74.22
5/26/16,74.37
5/27/16,74.62
5/31/16,74.42
6/1/16,74.63
6/2/16,74.83
6/3/16,75.12
6/6/16,75.08
6/7/16,75.1
6/8/16,75.56
6/9/16,75.84
6/10/16,75.4
6/13/16,74.92
6/14/16,75
6/15/16,74.83
6/16/16,75.13
6/17/16,74.66
6/20/16,75.1
6/21/16,75.04
6/22/16,74.86
6/23/16,75.54
6/24/16,73.94
6/27/16,73.59
6/28/16,74.49
6/29/16,75.34
6/30/16,76.4
7/1/16,76.47
7/5/16,76.72
7/6/16,77.19
7/7/16,76.78
7/8/16,77.7
7/11/16,77.86
7/12/16,77.68
7/13/16,77.8
7/14/16,77.94
7/15/16,77.85
7/18/16,78.02
7/19/16,78.2
7/20/16,78.34
7/21/16,77.95
7/22/16,78.49
7/25/16,78.28
7/26/16,78.03
7/27/16,77.77
7/28/16,78.14
7/29/16,78.45
8/1/16,78.57
8/2/16,78.23
8/3/16,77.92
8/4/16,78.09
8/5/16,78.34
